,YEAR_x,TEAM,WINPERCENT_x,PREV_YEAR_x,GP_y,WINPERCENT_y,MIN_y,PTS_y,FGM_y,FGA_y,FGPercent_y,ThreePtMade_y,ThreePtAttempts_y,ThreePtPercent_y,FTM_y,FTA_y,FTPercent_y,OREB_y,DREB_y,REB_y,AST_y,TOV_y,STL_y,BLK_y,BLKA_y,PF_y,PFD_y,PlusMinus_y
518,2000-01,Miami Heat,0.61,1999-00,82,0.634,48.4,94.4,36.3,78.8,46.0,5.4,14.7,37.1,16.4,22.3,73.6,11.2,31.9,43.2,23.5,15.0,7.1,6.4,4.4,23.7,2.1,3.1
519,2000-01,New York Knicks,0.585,1999-00,82,0.61,48.4,92.1,35.3,77.7,45.5,4.3,11.4,37.5,17.2,22.0,78.1,9.8,30.7,40.5,19.4,14.6,6.3,4.3,4.3,24.2,2.8,1.5
520,2000-01,Toronto Raptors,0.573,1999-00,82,0.5489999999999999,48.2,97.2,36.3,83.9,43.3,5.2,14.3,36.3,19.3,25.2,76.5,13.4,29.9,43.3,23.7,13.9,8.1,6.6,5.3,24.3,2.0,-0.2
521,2000-01,Minnesota Timberwolves,0.573,1999-00,82,0.61,48.5,98.5,39.3,84.3,46.7,3.0,8.7,34.6,16.8,21.6,78.0,12.4,30.1,42.5,26.9,13.9,7.6,5.4,4.2,23.3,2.3,2.5
522,2000-01,New Orleans Pelicans,0.561,1999-00,82,0.598,48.2,98.4,35.8,79.7,44.9,4.1,12.2,33.9,22.7,30.0,75.8,10.8,32.1,42.9,24.7,14.7,8.9,5.9,5.1,20.4,2.2,2.7
523,2000-01,Houston Rockets,0.5489999999999999,1999-00,82,0.415,48.4,99.5,36.6,81.3,45.0,7.1,19.8,35.8,19.2,26.2,73.3,12.3,31.5,43.8,21.6,17.4,7.5,5.3,5.3,20.3,1.8,-0.9
524,2000-01,Oklahoma City Thunder,0.537,1999-00,82,0.5489999999999999,48.2,99.1,37.9,84.7,44.7,6.7,19.6,33.9,16.6,23.9,69.5,12.7,30.3,43.0,22.9,14.0,8.0,4.2,5.3,21.7,2.2,1.0
525,2000-01,Orlando Magic,0.524,1999-00,82,0.5,48.2,100.1,38.6,85.5,45.2,3.6,10.6,33.8,19.2,26.1,73.5,14.0,31.0,44.9,20.8,17.6,9.1,5.7,5.8,24.0,2.8,0.7
526,2000-01,Indiana Pacers,0.5,1999-00,82,0.6829999999999999,48.1,101.3,37.2,81.0,45.9,7.1,18.1,39.2,19.9,24.5,81.1,10.3,31.9,42.1,22.6,14.1,6.8,5.1,3.9,21.8,2.3,4.6
527,2000-01,Denver Nuggets,0.488,1999-00,82,0.42700000000000005,48.4,99.0,37.3,84.3,44.2,5.7,17.0,33.6,18.7,25.8,72.4,13.1,31.6,44.7,23.3,15.6,6.8,7.5,5.6,23.9,2.5,-2.1
528,2000-01,Boston Celtics,0.439,1999-00,82,0.42700000000000005,48.1,99.3,37.2,83.9,44.4,5.1,15.4,33.1,19.8,26.5,74.5,13.5,29.5,43.0,21.2,15.4,9.7,3.5,5.8,27.1,2.3,-0.8
529,2000-01,Detroit Pistons,0.39,1999-00,82,0.512,48.4,103.5,37.1,80.9,45.9,5.4,14.9,35.9,23.9,30.6,78.1,11.2,30.0,41.2,20.8,15.7,8.1,3.3,4.8,24.5,3.5,1.4
530,2000-01,Los Angeles Clippers,0.37799999999999995,1999-00,82,0.183,48.1,92.0,35.1,82.4,42.6,5.2,15.5,33.9,16.6,22.3,74.6,11.6,29.0,40.6,18.0,16.2,7.0,6.0,4.6,22.2,2.0,-11.5
531,2000-01,Cleveland Cavaliers,0.366,1999-00,82,0.39,48.4,97.0,36.3,82.1,44.2,4.2,11.2,37.3,20.2,26.9,75.0,12.3,30.5,42.8,23.7,17.4,8.7,4.4,6.1,27.1,3.0,-3.5
532,2000-01,Brooklyn Nets,0.317,1999-00,82,0.37799999999999995,48.4,98.0,36.3,83.9,43.3,5.8,16.8,34.7,19.5,24.9,78.4,12.7,28.2,40.9,20.6,13.6,8.8,4.8,5.7,23.3,2.4,-1.0
533,2000-01,Atlanta Hawks,0.305,1999-00,82,0.341,48.4,94.3,36.6,83.0,44.1,3.1,9.9,31.7,18.0,24.2,74.3,14.0,31.3,45.3,18.9,15.4,6.1,5.6,4.9,21.0,1.6,-5.4
534,2000-01,Memphis Grizzlies,0.28,1999-00,82,0.268,48.4,93.9,35.3,78.5,44.9,4.0,11.0,36.1,19.4,25.1,77.4,12.3,28.3,40.6,20.7,16.8,7.4,4.2,6.3,22.9,2.4,-5.6
535,2000-01,Washington Wizards,0.23199999999999998,1999-00,82,0.354,48.3,96.6,36.7,81.5,45.0,4.1,10.9,37.6,19.1,25.7,74.3,13.0,29.7,42.7,21.6,16.1,7.2,4.7,6.1,26.2,2.7,-3.3
536,2000-01,Golden State Warriors,0.207,1999-00,82,0.23199999999999998,48.2,95.5,36.5,87.1,42.0,4.2,13.0,32.3,18.3,26.2,69.7,15.9,29.7,45.6,22.6,15.9,8.9,4.3,6.0,24.9,2.0,-8.3
537,2000-01,Chicago Bulls,0.183,1999-00,82,0.207,48.3,84.8,31.3,75.4,41.5,4.1,12.6,32.9,18.1,25.5,70.9,12.6,28.3,40.9,20.0,19.0,7.9,4.7,5.6,23.3,2.6,-9.4
538,1999-00,Los Angeles Lakers,0.8170000000000001,1998-99,50,0.62,48.2,99.0,36.8,78.7,46.8,4.8,13.7,35.2,20.5,30.1,68.3,12.3,29.6,42.0,21.9,15.1,7.8,5.7,3.9,24.6,0.1,3.0
539,1999-00,Portland Trail Blazers,0.72,1998-99,50,0.7,48.7,94.8,34.9,79.1,44.2,4.9,13.5,36.4,20.0,27.0,74.3,12.9,31.4,44.3,21.5,15.4,8.2,5.8,4.9,22.5,0.2,6.4
540,1999-00,Indiana Pacers,0.6829999999999999,1998-99,50,0.66,48.4,94.7,34.6,77.3,44.8,5.9,16.0,36.8,19.5,24.6,79.6,11.5,29.0,40.5,20.1,13.0,6.3,4.5,4.8,21.6,0.2,3.7
541,1999-00,Utah Jazz,0.6709999999999999,1998-99,50,0.74,48.7,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,16.3,8.0,5.5,5.3,22.7,0.1,6.5
542,1999-00,Phoenix Suns,0.6459999999999999,1998-99,50,0.54,48.2,95.6,35.9,80.1,44.9,5.2,14.0,37.2,18.5,24.3,76.0,12.0,28.4,40.3,25.0,13.6,8.9,4.0,4.1,20.4,0.1,2.3
543,1999-00,San Antonio Spurs,0.6459999999999999,1998-99,50,0.74,48.3,92.8,34.8,76.2,45.6,3.4,10.4,33.0,19.8,28.3,69.8,12.3,31.7,44.0,22.0,15.2,8.4,7.0,4.9,20.2,0.1,8.1
544,1999-00,Miami Heat,0.634,1998-99,50,0.66,48.1,89.0,32.3,71.3,45.3,5.8,16.1,35.9,18.6,25.2,73.5,10.1,30.2,40.3,20.4,14.9,6.5,6.1,3.8,20.7,0.1,5.0
545,1999-00,Minnesota Timberwolves,0.61,1998-99,50,0.5,48.1,92.9,36.8,86.5,42.5,2.4,8.2,29.8,17.0,22.9,74.3,15.1,27.8,42.9,24.4,12.8,8.5,5.4,5.2,23.7,0.1,0.4
546,1999-00,New York Knicks,0.61,1998-99,50,0.54,48.4,86.4,32.2,74.1,43.5,4.2,11.8,35.3,17.8,24.4,73.2,11.0,30.2,41.2,19.3,16.1,7.9,5.2,4.3,22.8,0.2,1.0
547,1999-00,Philadelphia 76ers,0.598,1998-99,50,0.56,48.6,89.7,33.1,77.7,42.6,2.0,7.4,26.4,21.5,29.7,72.2,14.6,28.6,43.1,18.7,16.4,10.8,5.4,5.3,23.0,0.1,2.1
548,1999-00,New Orleans Pelicans,0.598,1998-99,50,0.52,48.6,92.9,33.4,74.4,44.9,5.4,14.7,36.5,20.7,27.7,74.7,9.6,29.9,39.5,22.2,15.9,8.9,4.9,4.6,22.0,0.1,-0.1
549,1999-00,Oklahoma City Thunder,0.5489999999999999,1998-99,50,0.5,48.4,94.9,35.1,79.5,44.2,6.2,18.0,34.4,18.4,27.1,68.1,13.5,28.4,42.0,21.7,15.3,7.9,4.0,4.5,20.9,0.2,-1.1
550,1999-00,Toronto Raptors,0.5489999999999999,1998-99,50,0.46,48.3,91.1,33.2,78.8,42.1,4.5,13.2,34.1,20.2,26.6,76.0,14.2,28.9,43.2,20.7,16.0,8.8,6.4,5.2,22.8,0.2,-1.6
551,1999-00,Sacramento Kings,0.537,1998-99,50,0.54,48.8,100.2,38.4,86.1,44.5,5.8,18.9,30.8,17.7,25.9,68.3,14.1,31.5,45.6,22.6,16.8,8.9,4.6,4.4,20.3,0.2,-0.4
552,1999-00,Detroit Pistons,0.512,1998-99,50,0.58,48.2,90.4,33.2,74.3,44.7,5.0,13.6,36.5,19.0,25.7,74.0,12.1,28.2,40.3,20.2,15.8,8.9,4.2,4.5,22.8,0.1,3.4
553,1999-00,Milwaukee Bucks,0.512,1998-99,50,0.56,48.2,91.7,35.1,76.4,45.9,4.6,12.4,37.3,16.9,23.1,73.3,11.4,27.4,38.8,20.6,14.4,8.8,4.0,3.9,22.8,0.2,1.7
554,1999-00,Orlando Magic,0.5,1998-99,50,0.66,48.2,89.5,33.7,78.9,42.8,4.5,13.5,33.0,17.5,25.0,70.0,13.8,28.9,42.7,21.3,16.4,9.9,4.3,4.8,18.7,0.1,2.6
