YEAR_x,TEAM,WINPERCENT_x,PREV_YEAR_x,GP_y,WINPERCENT_y,WinPCT_2013_14,MIN_y,PTS_y,FGM_y,FGA_y,FGPercent_y,ThreePtMade_y,ThreePtAttempts_y,ThreePtPercent_y,FTM_y,FTA_y,FTPercent_y,OREB_y,DREB_y,REB_y,AST_y,TOV_y,STL_y,BLK_y,BLKA_y,PF_y,PFD_y,PlusMinus_y
2015-16,Milwaukee Bucks,0.402,2014-15,82,0.5,0.183,48.6,97.8,37.6,82,45.9,6.6,18.3,36.3,16,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4
2015-16,Denver Nuggets,0.402,2014-15,82,0.366,0.439,48.5,101.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,-3.5
2015-16,Sacramento Kings,0.402,2014-15,82,0.354,0.341,48.4,101.3,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,-3.7
2015-16,New York Knicks,0.39,2014-15,82,0.207,0.451,48.4,91.9,35.1,82,42.8,6.8,19.7,34.7,14.8,19.2,76.9,10.6,29.8,40.4,21.3,14.7,7,4.7,4.3,21.6,19.1,-9.3
2015-16,Minnesota Timberwolves,0.354,2014-15,82,0.195,0.488,48.3,97.8,36.4,83.2,43.8,5,14.9,33.2,20,25.7,77.6,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,-8.8
2015-16,Phoenix Suns,0.28,2014-15,82,0.476,0.585,48.5,102.4,38.8,85.8,45.2,8.5,25,34.1,16.4,21.5,76,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,-0.9
2015-16,Brooklyn Nets,0.256,2014-15,82,0.463,0.537,48.6,98,37.4,83,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,-2.9
2015-16,Los Angeles Lakers,0.207,2014-15,82,0.256,0.329,48.6,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4,-6.8
2015-16,Philadelphia 76ers,0.122,2014-15,82,0.22,0.232,48.3,92,33.7,82.6,40.8,8.4,26.3,32,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,-9
2015-16,LA Clippers,0.646,2014-15,82,0.683,0.695,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6
